"DRG Definition","Provider Id","Provider Name","Provider Street Address","Provider City","Provider State","Provider Zip Code","Hospital Referral Region Description","Total Discharges","Average Covered Charges","Average Total Payments","Average Medicare Payments"
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150002,"METHODIST HOSPITALS INC","600 GRANT ST","GARY","IN",46402,"IN - Gary",24,34741.5,6980.2,6088.04
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150009,"CLARK MEMORIAL HOSPITAL","1220 MISSOURI AVE","JEFFERSONVILLE","IN",47130,"KY - Louisville",28,23228.89,7409.42,6529.14
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150012,"SAINT JOSEPH REGIONAL MEDICAL CENTER","5215 HOLY CROSS PKWY","MISHAWAKA","IN",46545,"IN - South Bend",30,25856.23,6675.53,5289.6
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150015,"FRANCISCAN ST ANTHONY HEALTH - MICHIGAN CITY","301 W HOMER ST","MICHIGAN CITY","IN",46360,"IN - Gary",16,22745.68,6660.56,4386.18
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150017,"LUTHERAN HOSPITAL OF INDIANA","7950 W JEFFERSON BLVD","FORT WAYNE","IN",46804,"IN - Fort Wayne",57,42572.59,6352.89,4693.29
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150018,"ELKHART GENERAL HOSPITAL","600 E BLVD","ELKHART","IN",46514,"IN - South Bend",22,28872.77,6808.68,4759.9
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150021,"PARKVIEW REGIONAL MEDICAL CENTER","11109 PARKVIEW PLAZA DRIVE","FORT WAYNE","IN",46805,"IN - Fort Wayne",23,28730.95,6109.21,5176.86
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150023,"UNION HOSPITAL INC","1606 N SEVENTH ST","TERRE HAUTE","IN",47804,"IN - Terre Haute",26,45617.61,6216.34,5354.19
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150026,"IU HEALTH GOSHEN HOSPITAL","200 HIGH PARK AVE","GOSHEN","IN",46526,"IN - South Bend",15,20633.33,6520,4712.93
"039 - EXTRACRANIAL PROCEDURES W/O CC/MCC",150034,"ST MARY MEDICAL CENTER INC","1500 S LAKE PARK AVE","HOBART","IN",46342,"IN - Gary",21,15557.09,6106.66,5356.57
